sample_idx,output_0,output_1,output_2,output_3,output_4,output_5
29,0.9469091296195984,-0.7148477435112,1.7855010032653809,-1.3969579935073853,1.5876352787017822,-1.1745978593826294
30,0.9518879652023315,-0.7191157937049866,1.7862796783447266,-1.4017560482025146,1.5940661430358887,-1.182992696762085
31,0.9513777494430542,-0.7199966907501221,1.7927615642547607,-1.4047858715057373,1.6012462377548218,-1.1892492771148682
32,0.944788932800293,-0.7104430794715881,1.7807964086532593,-1.3927531242370605,1.5884983539581299,-1.1739788055419922
33,0.9546300172805786,-0.7213374376296997,1.7938501834869385,-1.406045913696289,1.6120116710662842,-1.1994659900665283
34,0.9319162368774414,-0.6997236013412476,1.7767021656036377,-1.393357276916504,1.607145071029663,-1.1926147937774658
35,0.9427434802055359,-0.7069867849349976,1.7761147022247314,-1.3928442001342773,1.614242434501648,-1.2021816968917847
36,0.930018424987793,-0.6986989378929138,1.7800273895263672,-1.3934893608093262,1.6143953800201416,-1.1992892026901245
37,0.9370604157447815,-0.7092429399490356,1.7878131866455078,-1.4024367332458496,1.615536093711853,-1.2022645473480225
38,0.9318169355392456,-0.7072522640228271,1.794007420539856,-1.4048657417297363,1.6085628271102905,-1.1941633224487305
39,0.9352214336395264,-0.710699200630188,1.7940722703933716,-1.4052441120147705,1.6075905561447144,-1.1930224895477295
40,0.9240701794624329,-0.6993786096572876,1.788061499595642,-1.3969634771347046,1.5984151363372803,-1.182222843170166
41,0.9200115203857422,-0.6940894722938538,1.772916316986084,-1.3867405652999878,1.5729022026062012,-1.1558341979980469
42,0.9268649816513062,-0.6984255909919739,1.7721787691116333,-1.386999487876892,1.573069453239441,-1.159314751625061
43,0.9166274070739746,-0.6846290230751038,1.7379939556121826,-1.3556426763534546,1.5076568126678467,-1.0943902730941772
44,0.9255214929580688,-0.6942669749259949,1.7556159496307373,-1.3694406747817993,1.5346260070800781,-1.1220852136611938
45,0.9270461797714233,-0.6947872638702393,1.7385666370391846,-1.3575265407562256,1.4978466033935547,-1.0875260829925537
