sample_idx,output_0,output_1,output_2,output_3,output_4,output_5
32,-1.4610238075256348,1.369954228401184,0.878808856010437,-0.7693890333175659,0.9404894709587097,-0.6891659498214722
33,-1.2853659391403198,1.3116145133972168,0.6699281334877014,-0.5859688520431519,1.2029523849487305,-0.9742293357849121
34,-1.6313252449035645,1.5360610485076904,1.0829740762710571,-1.0236581563949585,1.4745302200317383,-1.1911053657531738
35,-2.1370606422424316,1.7934236526489258,1.4430108070373535,-1.4021680355072021,1.61251699924469,-1.3182241916656494
36,-2.1341962814331055,1.6647282838821411,1.6613506078720093,-1.6048977375030518,1.6386834383010864,-1.2882821559906006
37,-2.0959043502807617,1.63142728805542,1.7224199771881104,-1.6498692035675049,1.6037369966506958,-1.2414565086364746
38,-1.7876918315887451,1.4254299402236938,1.6825227737426758,-1.586507797241211,1.424988031387329,-1.0438449382781982
39,-1.7388181686401367,1.485002875328064,1.5866284370422363,-1.4868459701538086,1.1268846988677979,-0.7852990627288818
40,-0.9140584468841553,0.8508114814758301,1.4656734466552734,-1.3073723316192627,0.7604178190231323,-0.35262972116470337
41,-0.07761387526988983,0.1831875741481781,1.1278003454208374,-0.9000524282455444,0.4125920534133911,-0.03295251727104187
42,-0.001419171690940857,0.11077049374580383,1.192758321762085,-0.9792907238006592,0.6137254238128662,-0.19059140980243683
43,0.05829416215419769,0.07764048129320145,1.0391452312469482,-0.8208602070808411,0.31975844502449036,0.012320924550294876
44,0.25062572956085205,-0.15272259712219238,1.2484012842178345,-1.0075151920318604,0.5627092719078064,-0.1493653953075409
45,0.45276713371276855,-0.3142837584018707,1.3632720708847046,-1.0727365016937256,0.8345655202865601,-0.39401182532310486
46,0.21611464023590088,-0.18605788052082062,1.4611146450042725,-1.213438868522644,0.724991500377655,-0.2793826758861542
47,0.20190000534057617,-0.16114899516105652,1.5182980298995972,-1.2661370038986206,0.8569723963737488,-0.4036562144756317
48,0.5474637746810913,-0.4322850704193115,1.4865398406982422,-1.1984174251556396,0.7617346048355103,-0.3743286728858948
49,0.45734071731567383,-0.35564810037612915,1.3795037269592285,-1.1089468002319336,0.5723943710327148,-0.20738132297992706
50,0.29394954442977905,-0.21117837727069855,1.274109125137329,-1.0372685194015503,0.11930018663406372,0.12781795859336853
51,0.13911211490631104,-0.05902029573917389,1.228041410446167,-1.0155541896820068,-0.13050000369548798,0.3034685254096985
52,0.5129395723342896,-0.429672509431839,1.207322359085083,-0.9712604284286499,0.12035489082336426,0.08463443070650101
53,0.5929030179977417,-0.4631074070930481,1.1517162322998047,-0.8912721872329712,0.3921876549720764,-0.1242295652627945
54,0.722358226776123,-0.5105321407318115,1.1033482551574707,-0.8286845088005066,0.6667253375053406,-0.3974767327308655
55,0.8716726303100586,-0.5821853280067444,1.254103183746338,-0.9637148976325989,0.9988203644752502,-0.709609866142273
56,0.9349378943443298,-0.6060627698898315,1.3907742500305176,-1.0838061571121216,1.1811199188232422,-0.8580703735351562
57,1.0033535957336426,-0.6789097785949707,1.5976260900497437,-1.265576958656311,1.4672340154647827,-1.1102591753005981
58,0.9478800296783447,-0.6661900281906128,1.6317371129989624,-1.2980780601501465,1.4784551858901978,-1.1031395196914673
59,1.0534906387329102,-0.785737156867981,1.7843658924102783,-1.4437395334243774,1.5779404640197754,-1.1965641975402832
60,0.8841575384140015,-0.6972825527191162,1.7659053802490234,-1.398091435432434,1.4696402549743652,-1.0568453073501587
61,0.8004946112632751,-0.6223432421684265,1.6918632984161377,-1.3486988544464111,1.332874059677124,-0.9038134217262268
62,0.8482498526573181,-0.6318833827972412,1.6326836347579956,-1.2924973964691162,1.277598261833191,-0.8603658676147461
63,0.7945209741592407,-0.5640826225280762,1.5247761011123657,-1.1990101337432861,1.144822597503662,-0.7353839874267578
64,0.800220787525177,-0.5518766641616821,1.4603108167648315,-1.1456778049468994,1.0858721733093262,-0.6891880035400391
65,0.7681993842124939,-0.5454344153404236,1.45918607711792,-1.1493821144104004,1.0186140537261963,-0.6410120129585266
66,0.9198648929595947,-0.626865029335022,1.5081381797790527,-1.186829686164856,1.1793280839920044,-0.7999452352523804
67,0.9382288455963135,-0.6375795602798462,1.5439250469207764,-1.2059577703475952,1.2881016731262207,-0.9128531813621521
68,0.9217735528945923,-0.6002678871154785,1.4993245601654053,-1.1658854484558105,1.3032763004302979,-0.9262548089027405
69,0.9944067597389221,-0.6778180599212646,1.5823090076446533,-1.248311996459961,1.4092893600463867,-1.0525113344192505
70,1.009260654449463,-0.7004729509353638,1.6326193809509277,-1.2913806438446045,1.4678287506103516,-1.096872329711914
71,1.0547337532043457,-0.7412484288215637,1.6740599870681763,-1.3278799057006836,1.5527032613754272,-1.1889379024505615
72,0.95816969871521,-0.6571221351623535,1.5971980094909668,-1.24374520778656,1.5015873908996582,-1.127868413925171
73,0.8993433117866516,-0.5605384111404419,1.416290283203125,-1.0822421312332153,1.4295181035995483,-1.071731448173523
74,0.7592811584472656,-0.40469664335250854,1.1039085388183594,-0.8215401768684387,1.2712607383728027,-0.9446947574615479
75,0.4444388151168823,-0.10789588838815689,0.5526841878890991,-0.3697410523891449,1.0832809209823608,-0.7616078853607178
76,0.3520541787147522,0.0735960528254509,0.02062705159187317,0.056414127349853516,1.1460577249526978,-0.9390007853507996
77,0.03979627043008804,0.47452276945114136,-0.467187762260437,0.4659912884235382,1.0068068504333496,-0.987949550151825
78,-0.3173195719718933,0.8456336259841919,-0.7764663696289062,0.6632106900215149,0.9834094047546387,-1.1160337924957275
79,-0.6070782542228699,1.0495668649673462,-0.6373052000999451,0.5622271299362183,0.9830642938613892,-1.1044414043426514
80,-1.1110955476760864,1.4235665798187256,-0.5233558416366577,0.4329821765422821,1.07725191116333,-1.2147843837738037
81,-1.9875397682189941,2.042407989501953,0.05762762576341629,-0.12966349720954895,1.1927024126052856,-1.257789969444275
82,-2.6954360008239746,2.514657497406006,0.5988404750823975,-0.619218647480011,1.3712358474731445,-1.3609440326690674
83,-2.9132027626037598,2.617095947265625,0.8054474592208862,-0.8266136646270752,1.356811761856079,-1.3278332948684692
84,-3.4934282302856445,2.9149272441864014,1.1966989040374756,-1.2195849418640137,1.481032133102417,-1.4458014965057373
85,-3.523575782775879,2.879721164703369,1.333202600479126,-1.3659411668777466,1.4659593105316162,-1.421139121055603
86,-2.8014302253723145,2.426255226135254,1.1783080101013184,-1.1668565273284912,1.161125659942627,-1.034266471862793
87,-2.868868589401245,2.4672048091888428,1.3610273599624634,-1.3416157960891724,1.1545343399047852,-1.0060608386993408
88,-1.9978094100952148,1.865623116493225,1.261850118637085,-1.1368250846862793,0.711432158946991,-0.4667210578918457
89,-2.2581934928894043,2.042797803878784,1.4153450727462769,-1.2763303518295288,0.7267696857452393,-0.44315436482429504
90,-1.002966046333313,1.0620760917663574,1.275714635848999,-1.10202956199646,0.4565082788467407,-0.1407489776611328
91,-0.7504998445510864,0.8635669350624084,1.1733341217041016,-1.0154253244400024,0.22841694951057434,0.04123002290725708
92,-0.3553463816642761,0.5252675414085388,1.0827744007110596,-0.9550133347511292,0.0033686012029647827,0.21422342956066132
93,-0.18009403347969055,0.328978568315506,1.0990656614303589,-0.9660464525222778,-0.28217455744743347,0.4158099591732025
94,0.12535488605499268,-0.01992831379175186,1.1872422695159912,-0.9779340028762817,-0.09971131384372711,0.2855337858200073
95,0.2822241187095642,-0.17481693625450134,1.14548659324646,-0.9113093614578247,-0.010744616389274597,0.20261263847351074
96,0.46709108352661133,-0.32901960611343384,1.1677167415618896,-0.9141185283660889,0.3476102352142334,-0.07961130142211914
97,0.6124833822250366,-0.42275500297546387,1.2284728288650513,-0.9482508897781372,0.6741443276405334,-0.35527482628822327
98,0.747991681098938,-0.5283105373382568,1.316490650177002,-1.011984944343567,0.8245899677276611,-0.5023820400238037
99,0.7875479459762573,-0.5306792259216309,1.40590238571167,-1.0922212600708008,1.0386137962341309,-0.6807901859283447
100,0.7924973964691162,-0.5193572044372559,1.454582691192627,-1.1508514881134033,1.1972845792770386,-0.8314059376716614
101,0.8990300297737122,-0.6358782052993774,1.5899487733840942,-1.2658179998397827,1.2766317129135132,-0.896288275718689
102,0.919966459274292,-0.6239328980445862,1.535626769065857,-1.2168748378753662,1.3014582395553589,-0.9514817595481873
103,0.7973337173461914,-0.5967962741851807,1.610632061958313,-1.2853537797927856,1.1941677331924438,-0.7939528822898865
104,0.7396011352539062,-0.5330973863601685,1.5451377630233765,-1.2269537448883057,1.131760597229004,-0.734788179397583
105,0.857634425163269,-0.6275467872619629,1.600031852722168,-1.2712080478668213,1.2125158309936523,-0.8175464868545532
106,0.8271072506904602,-0.5830343961715698,1.5257470607757568,-1.1954766511917114,1.176227331161499,-0.7926234602928162
107,0.8587276935577393,-0.6417806148529053,1.5165395736694336,-1.2021511793136597,0.9987432956695557,-0.649100661277771
108,0.7358343601226807,-0.5522247552871704,1.4084936380386353,-1.1039403676986694,0.7783015966415405,-0.432791531085968
109,0.8138704299926758,-0.6147845983505249,1.4724041223526,-1.1622495651245117,0.8804260492324829,-0.5324274301528931
